time,ax,ay,az,aT
0.004000,0.3299,0.1249,0.4607,0.580
0.005000,0.2900,-0.0729,0.3360,0.450
0.006000,0.1760,-0.2871,0.2364,0.411
0.006000,-0.0261,-0.4080,0.1661,0.441
0.013000,-0.1797,-0.3833,0.1705,0.456
0.014000,-0.3361,-0.2770,0.1316,0.455
0.018000,-0.4127,-0.1388,-0.0147,0.436
0.027000,-0.3975,-0.0471,-0.2100,0.452
0.028000,-0.3264,-0.0380,-0.3163,0.456
0.033000,-0.1687,-0.1212,-0.2772,0.346
0.045000,0.0210,-0.2479,-0.2827,0.377
0.046000,0.1236,-0.3084,-0.1927,0.384
0.049000,0.1305,-0.3326,-0.1674,0.395
0.057000,0.0955,-0.2657,-0.1529,0.321
0.058000,0.1007,-0.1770,-0.0943,0.224
0.064000,0.1024,-0.1035,-0.1222,0.190
0.069000,0.0541,-0.0801,-0.1981,0.220
0.083000,0.0299,-0.1232,-0.3268,0.351
0.084000,-0.0052,-0.1144,-0.3541,0.372
0.084000,-0.0064,-0.1467,-0.3736,0.401
0.105000,0.0104,-0.1747,-0.3625,0.403
0.106000,0.0473,-0.1146,-0.4576,0.474
0.106000,0.0911,-0.0165,-0.4541,0.463
0.107000,0.1495,0.0033,-0.3677,0.397
0.109000,0.1635,0.0131,-0.2617,0.309
0.114000,0.1716,-0.0092,-0.1178,0.208
0.119000,0.1919,-0.0746,0.0008,0.206
0.124000,0.3033,-0.1103,0.1444,0.354
0.130000,0.2957,-0.1038,0.2597,0.407
0.135000,0.2644,-0.1090,0.3183,0.428
0.140000,0.2330,-0.1081,0.2785,0.379
0.144000,0.1803,-0.0963,0.2481,0.321
0.150000,0.1291,-0.1215,0.2868,0.337
0.155000,0.0452,-0.0950,0.2438,0.266
0.160000,-0.0164,-0.1218,0.1619,0.203
0.165000,-0.0536,-0.1107,0.0710,0.142
0.172000,-0.1660,-0.1464,0.0484,0.226
0.175000,-0.2066,-0.1735,0.0592,0.276
0.181000,-0.2316,-0.1954,0.0697,0.311
0.185000,-0.1804,-0.1856,0.1323,0.291
0.204000,-0.1453,-0.1729,0.1609,0.277
0.205000,-0.0805,-0.1752,0.1796,0.263
0.206000,0.0525,-0.1091,0.1742,0.212
0.209000,0.1657,-0.0657,0.1448,0.230
0.211000,0.2724,-0.0667,0.1265,0.308
0.216000,0.3356,-0.0165,0.0833,0.346
0.238000,0.3001,-0.0502,-0.0109,0.304
0.239000,0.2198,-0.0350,-0.0105,0.223
0.240000,0.1106,0.0280,0.0473,0.123
0.241000,0.0352,0.0538,0.0751,0.099
0.241000,-0.1018,0.0602,0.0896,0.148
0.246000,-0.1931,0.0927,0.0884,0.232
0.251000,-0.2279,0.0733,0.0514,0.245
0.256000,-0.1516,0.0811,0.0169,0.173
0.261000,-0.0553,0.0611,0.0219,0.085
0.267000,-0.0012,0.0362,0.0138,0.039
0.272000,0.0925,0.0400,-0.0100,0.101
0.277000,0.1127,0.0379,-0.0913,0.150
0.282000,0.0767,0.0480,-0.0817,0.122
0.286000,0.1495,-0.0195,0.0162,0.152
0.292000,0.2333,-0.1201,0.0924,0.278
0.297000,0.0547,-0.1668,0.0227,0.177
0.302000,-0.2821,0.1119,-0.0803,0.314
0.319000,-0.2871,0.2995,-0.2032,0.462
0.320000,-0.0583,0.3352,-0.2731,0.436
0.321000,0.0843,0.3026,-0.2792,0.420
0.347000,0.0353,0.0826,-0.2398,0.256
