time,ax,ay,az,aT
0.005000,-0.3364,0.3865,0.7619,0.918
0.006000,-0.1383,0.3913,0.8128,0.913
0.006000,0.0725,0.2578,0.4982,0.566
0.006000,0.2532,0.0063,0.1266,0.283
0.012000,0.3208,-0.2101,-0.2285,0.446
0.013000,0.3401,-0.3634,-0.4887,0.698
0.018000,0.3529,-0.4174,-0.6687,0.864
0.024000,0.3526,-0.3087,-0.6828,0.828
0.045000,0.3535,-0.2003,-0.6767,0.789
0.045000,0.4010,-0.1049,-0.4720,0.628
0.046000,0.3618,-0.1224,-0.3658,0.529
0.046000,0.0908,-0.3427,-0.3337,0.487
0.065000,0.0206,-0.2962,-0.2305,0.376
0.066000,0.2141,-0.1715,-0.2520,0.372
0.067000,0.3092,-0.0884,-0.2602,0.414
0.068000,0.3905,-0.0616,-0.3062,0.500
0.069000,0.4899,-0.0491,-0.3230,0.589
0.074000,0.4978,-0.0637,-0.2479,0.560
0.080000,0.4350,-0.0693,-0.2186,0.492
0.084000,0.3031,-0.0481,-0.0307,0.308
0.089000,0.1034,0.0230,0.3566,0.372
0.096000,-0.0810,0.0945,0.7528,0.763
0.100000,-0.2547,0.1310,0.9635,1.005
0.105000,-0.3917,0.1723,1.0496,1.133
0.120000,-0.4838,0.2520,1.1570,1.279
0.120000,-0.5530,0.3049,1.3582,1.498
0.121000,-0.5019,0.3515,1.4829,1.605
0.125000,-0.4766,0.4210,1.3603,1.502
0.135000,-0.3874,0.4346,1.0825,1.229
0.136000,-0.2243,0.3248,0.8578,0.944
0.140000,-0.1432,0.2882,0.5577,0.644
0.146000,-0.1652,0.3240,0.4058,0.545
0.150000,-0.1456,0.3631,0.2990,0.492
0.156000,0.0014,0.2741,0.2059,0.343
0.160000,0.1284,0.2148,0.1174,0.276
0.165000,0.0896,0.2231,0.0707,0.251
0.171000,-0.0213,0.2220,0.0518,0.229
0.176000,0.0194,0.1790,0.0593,0.190
0.181000,0.0930,0.1860,0.1201,0.240
0.186000,0.1143,0.1804,0.2006,0.293
0.191000,0.1905,0.1448,0.3837,0.452
0.196000,0.2710,0.0779,0.5261,0.597
0.201000,0.2823,0.0184,0.6149,0.677
0.206000,0.2793,-0.0670,0.6214,0.685
0.211000,0.3351,-0.1447,0.5864,0.691
0.216000,0.4231,-0.2087,0.4942,0.683
0.221000,0.4732,-0.1951,0.3996,0.649
0.227000,0.5165,-0.1932,0.4028,0.683
0.232000,0.5203,-0.1885,0.4687,0.725
0.237000,0.5129,-0.2143,0.5458,0.779
0.242000,0.5202,-0.2705,0.4833,0.760
0.257000,0.4546,-0.2720,0.4798,0.715
0.258000,0.4177,-0.3240,0.4370,0.686
0.259000,0.4010,-0.2827,0.3789,0.620
0.262000,0.3591,-0.2236,0.3973,0.580
0.267000,0.3204,-0.2374,0.4301,0.586
0.272000,0.3225,-0.2246,0.4435,0.593
0.278000,0.3337,-0.2068,0.3610,0.533
0.283000,0.3771,-0.2555,0.2604,0.525
0.287000,0.3849,-0.2580,0.1331,0.482
0.292000,0.4052,-0.2415,0.0209,0.472
0.297000,0.4438,-0.2058,-0.0729,0.495
0.302000,0.4675,-0.2143,-0.0693,0.519
0.307000,0.4570,-0.2323,-0.1455,0.533
0.312000,0.4293,-0.2326,-0.1958,0.526
0.318000,0.3757,-0.1759,-0.2286,0.474
0.322000,0.3752,-0.1833,-0.2677,0.496
0.338000,0.3983,-0.2050,-0.2612,0.519
0.339000,0.4146,-0.1742,-0.2019,0.493
0.339000,0.3906,-0.1453,-0.0669,0.422
0.342000,0.4167,-0.1496,0.1297,0.461
0.356000,0.4090,-0.2127,0.1906,0.499
0.357000,0.3662,-0.2640,0.1855,0.488
0.357000,0.2941,-0.2208,0.1204,0.387
0.371000,0.2178,-0.2195,0.1434,0.341
0.372000,0.1573,-0.1320,0.2305,0.309
0.373000,0.1346,-0.1219,0.2129,0.280
0.384000,0.0910,-0.1315,0.1766,0.238
0.385000,0.0840,-0.1686,0.1140,0.220
0.388000,0.1075,-0.1554,0.0719,0.202
0.395000,0.1232,-0.1369,0.0535,0.192
0.398000,0.1825,-0.1093,0.0346,0.215
0.403000,0.2542,-0.0603,-0.0292,0.263
0.408000,0.2079,-0.0876,-0.1094,0.251
0.413000,0.1552,-0.0415,-0.1726,0.236
0.418000,0.1176,-0.0522,-0.2143,0.250
0.424000,0.1228,-0.0334,-0.2632,0.292
0.429000,0.1277,-0.0066,-0.1794,0.220
0.434000,0.1550,-0.0042,-0.1353,0.206
0.439000,0.1363,-0.0311,-0.1294,0.191
0.445000,0.1089,-0.0922,-0.1402,0.200
0.449000,0.1268,-0.2018,-0.1185,0.266
0.454000,0.1218,-0.2893,-0.1002,0.330
0.460000,0.0926,-0.2703,-0.0815,0.297
0.474000,0.1640,-0.2562,-0.0670,0.311
0.475000,0.1419,-0.2480,0.0232,0.287
0.476000,0.1399,-0.2091,0.1165,0.277
0.483000,0.1172,-0.1352,0.1975,0.266
0.483000,0.0958,-0.0707,0.2773,0.302
0.490000,0.0529,-0.0279,0.3809,0.386
0.496000,-0.0563,0.0621,0.5734,0.579
0.500000,-0.1216,0.1388,0.7916,0.813
0.505000,-0.1965,0.1134,1.0681,1.092
0.510000,-0.2779,0.1034,1.2348,1.270
0.515000,-0.4025,-0.0651,1.4142,1.472
0.520000,-0.4499,-0.2338,2.6661,2.714
0.526000,-0.3897,-0.0389,3.8853,3.905
0.531000,-0.3828,0.0240,2.7204,2.747
0.535000,-0.4728,-0.3791,0.9591,1.135
0.540000,-0.6727,-0.7412,-0.1146,1.007
0.546000,-0.8462,-0.7522,-0.8197,1.398
