time,ax,ay,az,aT
0.005000,-0.0573,0.0355,-0.5562,0.560
0.005000,-0.0772,0.0476,-0.4356,0.445
0.005000,-0.1072,0.0636,-0.2579,0.286
0.006000,-0.1512,0.0422,-0.0947,0.183
0.006000,-0.1756,0.0048,0.0446,0.181
0.006000,-0.1518,0.0108,0.1986,0.250
0.012000,-0.1359,-0.0369,0.3425,0.370
0.015000,-0.1423,-0.0237,0.4954,0.516
0.020000,-0.1450,-0.0026,0.6373,0.654
0.025000,-0.0688,-0.0287,0.8005,0.804
0.036000,-0.0574,0.0130,0.9191,0.921
0.036000,-0.0357,0.0301,0.9394,0.941
0.041000,0.0077,0.0316,0.7895,0.790
0.050000,0.0959,-0.0228,0.5555,0.564
0.052000,0.1781,-0.0904,0.1808,0.269
0.055000,0.2594,-0.1164,-0.2453,0.376
0.076000,0.2999,-0.0920,-0.5583,0.640
0.077000,0.2685,-0.0969,-0.6928,0.749
0.078000,0.2552,-0.0593,-0.7255,0.771
0.079000,0.1901,-0.0882,-0.6373,0.671
0.109000,0.0719,-0.0897,-0.5285,0.541
0.110000,0.0069,-0.0630,-0.3808,0.386
0.111000,-0.0063,-0.0839,-0.2478,0.262
0.112000,0.0058,-0.1215,-0.1926,0.228
0.113000,0.0911,-0.1138,-0.1301,0.195
0.113000,0.1668,-0.1230,-0.0664,0.218
0.115000,0.2093,-0.1887,-0.0348,0.284
0.118000,0.2250,-0.2282,0.0365,0.323
0.121000,0.1441,-0.2510,0.1246,0.315
0.127000,0.1020,-0.2321,0.2963,0.390
0.132000,0.0123,-0.1666,0.3385,0.378
0.137000,-0.0815,-0.1417,0.3875,0.421
0.142000,-0.1859,-0.0617,0.4658,0.505
0.148000,-0.1014,0.0207,0.6272,0.636
0.152000,-0.0359,0.0552,0.5801,0.584
0.157000,-0.0737,0.0452,0.5366,0.543
0.173000,-0.0825,0.0088,0.5552,0.561
0.174000,-0.1197,0.0629,0.5705,0.586
0.175000,-0.1495,0.0366,0.6180,0.637
0.177000,-0.2077,0.0600,0.6454,0.681
0.202000,-0.2172,0.0936,0.6156,0.659
0.203000,-0.1493,0.1043,0.5582,0.587
0.203000,-0.1040,0.0889,0.4493,0.470
0.203000,-0.0461,0.0785,0.4144,0.424
0.204000,0.0030,0.0711,0.4079,0.414
0.207000,-0.0031,0.0844,0.4178,0.426
0.213000,-0.0262,0.0551,0.4907,0.494
0.217000,-0.0028,0.0466,0.5406,0.543
0.223000,0.0267,0.0549,0.6022,0.605
0.227000,0.0458,0.0612,0.5498,0.555
0.233000,0.0274,0.0566,0.5107,0.515
0.238000,0.0474,0.0984,0.4911,0.503
0.242000,0.0638,0.1089,0.5027,0.518
0.247000,0.0709,0.1273,0.5124,0.533
0.253000,0.0121,0.1497,0.5202,0.541
0.258000,-0.0059,0.1595,0.4831,0.509
0.263000,0.0025,0.1700,0.5014,0.529
0.268000,0.0446,0.1875,0.4709,0.509
0.273000,0.0431,0.2194,0.4823,0.532
0.279000,0.0266,0.2155,0.5772,0.617
0.283000,0.0924,0.1810,0.6166,0.649
0.289000,0.1241,0.1014,0.6639,0.683
0.294000,0.1326,0.0761,0.6237,0.642
0.309000,0.1262,0.0966,0.6022,0.623
0.310000,0.1836,0.0951,0.5611,0.598
0.310000,0.2478,0.0512,0.5207,0.579
0.340000,0.2765,0.0033,0.4930,0.565
0.341000,0.2871,-0.0092,0.4327,0.519
0.342000,0.3300,-0.0379,0.4103,0.528
0.343000,0.4070,-0.0841,0.4202,0.591
0.344000,0.4943,-0.1134,0.4312,0.666
0.345000,0.5537,-0.1694,0.4620,0.741
0.346000,0.5953,-0.1940,0.5007,0.802
0.358000,0.6242,-0.2272,0.5000,0.831
0.359000,0.5751,-0.2561,0.5080,0.809
0.360000,0.5533,-0.2594,0.3931,0.727
0.372000,0.5435,-0.2799,0.2881,0.676
0.374000,0.5240,-0.2579,0.2289,0.627
0.375000,0.5023,-0.2410,0.1541,0.578
0.383000,0.4733,-0.1946,0.0627,0.516
0.385000,0.4532,-0.1353,-0.0549,0.476
0.390000,0.4060,-0.1215,-0.1404,0.446
0.395000,0.3761,-0.1146,-0.1809,0.433
0.408000,0.2925,-0.0581,-0.1753,0.346
0.409000,0.2249,-0.0488,-0.1478,0.274
0.410000,0.1346,-0.0076,-0.1583,0.208
0.439000,0.0265,0.0490,-0.1137,0.127
0.440000,-0.0149,0.1333,-0.0394,0.140
0.441000,0.0155,0.1079,0.1087,0.154
