time,ax,ay,az,aT
0.005000,-0.2261,0.1136,0.2411,0.350
0.005000,-0.2643,0.1197,0.3449,0.451
0.006000,-0.2583,0.1336,0.4943,0.574
0.006000,-0.2429,0.1743,0.7074,0.768
0.007000,-0.2471,0.1473,0.8644,0.911
0.007000,-0.1738,0.1409,0.9907,1.016
0.008000,-0.1644,0.1098,1.0743,1.092
0.008000,-0.1198,-0.0006,1.0850,1.092
0.008000,-0.0758,-0.0368,0.9269,0.931
0.011000,-0.0331,-0.0499,0.6812,0.684
0.017000,0.0852,-0.1040,0.4291,0.450
0.029000,0.1740,-0.1797,0.2169,0.331
0.030000,0.2064,-0.1762,-0.0250,0.272
0.043000,0.1461,-0.1438,-0.1973,0.285
0.044000,0.1033,-0.1433,-0.2561,0.311
0.044000,0.0166,-0.1425,-0.3474,0.376
0.047000,-0.0007,-0.1805,-0.4259,0.463
0.062000,-0.0158,-0.1247,-0.4570,0.474
0.063000,0.0345,-0.0838,-0.4469,0.456
0.064000,0.0086,-0.0635,-0.4197,0.425
0.074000,-0.0039,-0.0522,-0.4376,0.441
0.076000,-0.0090,-0.0506,-0.4073,0.410
0.077000,-0.0329,-0.0539,-0.3960,0.401
0.086000,-0.0215,-0.0791,-0.3556,0.365
0.088000,0.0239,-0.1022,-0.2264,0.250
0.093000,0.0126,-0.0697,-0.1385,0.156
0.098000,-0.0123,-0.0656,-0.0798,0.104
0.103000,-0.0638,-0.0205,-0.0537,0.086
0.108000,-0.1181,-0.0065,0.0213,0.120
0.113000,-0.1082,-0.0045,0.1822,0.212
0.124000,-0.0665,-0.0364,0.2727,0.283
0.125000,-0.0468,-0.0328,0.3492,0.354
0.128000,-0.0362,-0.0692,0.3925,0.400
0.140000,-0.0864,-0.0738,0.3678,0.385
0.141000,-0.1194,-0.0416,0.2788,0.306
0.144000,-0.1511,-0.0141,0.1874,0.241
0.151000,-0.2649,-0.0698,0.1303,0.303
0.154000,-0.3554,-0.1024,0.2187,0.430
0.158000,-0.2930,0.0332,0.2561,0.391
0.164000,-0.0732,0.1393,0.1351,0.207
0.169000,0.0101,0.1549,-0.0257,0.157
0.174000,-0.0959,0.0840,-0.1056,0.166
0.179000,-0.1380,0.0857,-0.0689,0.176
0.183000,-0.1643,0.0963,0.0882,0.210
0.189000,-0.2026,0.0927,0.2606,0.343
0.194000,-0.1980,0.1426,0.4223,0.488
0.200000,-0.1915,0.1764,0.5173,0.579
0.204000,-0.1912,0.1711,0.4908,0.554
0.209000,-0.1827,0.1747,0.4543,0.520
0.214000,-0.1238,0.1536,0.3181,0.374
0.219000,-0.0342,0.1542,0.2224,0.273
0.224000,0.0016,0.1536,0.1614,0.223
