time,ax,ay,az,aT
0.004000,0.1826,0.1510,0.7146,0.753
0.005000,0.1678,0.1282,1.1681,1.187
0.005000,0.1266,0.0936,1.5136,1.522
0.006000,0.2252,0.0331,1.7410,1.756
0.007000,0.3614,-0.0717,1.7936,1.831
0.009000,0.5072,-0.1517,1.6778,1.759
0.010000,0.5991,-0.1742,1.3316,1.471
0.015000,0.5507,-0.1973,0.8829,1.059
0.019000,0.3714,-0.2276,0.4034,0.594
0.034000,0.2110,-0.1611,-0.0251,0.267
0.035000,0.0782,-0.1620,-0.3329,0.378
0.035000,0.0607,-0.1519,-0.5829,0.605
0.039000,0.0543,-0.1372,-0.6478,0.664
0.047000,-0.0113,-0.1066,-0.6216,0.631
0.049000,-0.0267,-0.0359,-0.5576,0.559
0.054000,-0.0427,0.0151,-0.4592,0.461
0.064000,0.0266,0.0392,-0.3793,0.382
0.065000,0.1023,0.0401,-0.3335,0.351
0.070000,0.1752,0.0166,-0.3393,0.382
0.078000,0.1849,0.0030,-0.3368,0.384
0.079000,0.1853,0.0220,-0.3630,0.408
0.085000,0.1752,0.0097,-0.3110,0.357
0.090000,0.1506,0.0329,-0.2202,0.269
0.102000,0.1191,0.0770,-0.1585,0.213
0.103000,0.0508,0.0926,-0.0827,0.134
0.105000,0.0105,0.0652,0.0182,0.069
0.124000,0.0185,0.0653,0.1250,0.142
0.126000,0.0487,0.0793,0.2106,0.230
0.127000,0.0207,0.0951,0.1746,0.200
0.128000,0.0101,0.1032,0.1916,0.218
0.130000,-0.0781,0.0596,0.1456,0.176
0.135000,-0.1014,0.1021,0.0529,0.153
0.141000,-0.0831,0.1313,0.1075,0.189
0.145000,-0.0846,0.1630,0.0913,0.205
0.150000,-0.1204,0.1218,0.0211,0.173
0.156000,-0.1279,0.0965,-0.0145,0.161
0.163000,-0.1070,0.0605,-0.0095,0.123
0.166000,-0.0420,0.0590,0.0482,0.087
0.171000,0.0025,-0.0052,0.1241,0.124
0.186000,0.0055,-0.0245,0.1908,0.192
0.187000,-0.0565,-0.0256,0.2928,0.299
0.188000,-0.0568,-0.0349,0.3764,0.382
0.190000,-0.0743,0.0096,0.3842,0.391
0.207000,-0.0960,-0.0119,0.4420,0.452
0.209000,-0.0791,-0.0539,0.4625,0.472
0.209000,-0.0598,-0.0111,0.4526,0.457
0.211000,-0.0861,0.0226,0.3512,0.362
0.216000,-0.0632,-0.0042,0.2468,0.255
0.221000,-0.0488,-0.0479,0.1534,0.168
0.226000,-0.0576,-0.0566,0.1255,0.149
0.231000,-0.0932,-0.0266,0.0735,0.122
