time,ax,ay,az,aT
0.003000,0.1498,-0.0467,0.1737,0.234
0.004000,0.1313,-0.0218,0.2603,0.292
0.004000,0.0866,-0.0246,0.2907,0.304
0.005000,0.0884,-0.0383,0.3069,0.322
0.009000,0.1338,-0.0379,0.2887,0.320
0.015000,0.1645,-0.0164,0.2507,0.300
0.019000,0.2022,-0.0532,0.1800,0.276
0.024000,0.2255,-0.0578,0.1135,0.259
0.031000,0.1883,-0.0360,0.0321,0.194
0.034000,0.2017,-0.0357,-0.0833,0.221
0.039000,0.1904,-0.0646,-0.1934,0.279
0.053000,0.1913,-0.0417,-0.2273,0.300
0.054000,0.2256,-0.0492,-0.2818,0.364
0.055000,0.2075,-0.0562,-0.3234,0.388
0.059000,0.2217,-0.0922,-0.3511,0.425
0.066000,0.2048,-0.0872,-0.3531,0.417
0.069000,0.2092,-0.0984,-0.3448,0.415
0.074000,0.1876,-0.1732,-0.3404,0.426
0.088000,0.1480,-0.1185,-0.3688,0.415
0.089000,0.1205,-0.1210,-0.4166,0.450
0.090000,0.1326,-0.1173,-0.3509,0.393
0.117000,0.1314,-0.1159,-0.2735,0.325
0.118000,0.1349,-0.1503,-0.1401,0.246
0.118000,0.1456,-0.1539,-0.0184,0.213
0.119000,0.1503,-0.1411,0.0749,0.219
0.119000,0.1537,-0.1262,0.0584,0.207
0.120000,0.0960,-0.1318,0.1055,0.194
0.125000,0.0955,-0.1256,0.0940,0.184
0.130000,0.0717,-0.0667,0.0561,0.113
0.135000,0.0787,-0.0986,0.0420,0.133
0.140000,0.1176,-0.0789,0.0539,0.152
0.146000,0.1167,-0.0554,0.0176,0.130
0.151000,0.1407,-0.0532,-0.0105,0.151
0.155000,0.1880,-0.1141,-0.0379,0.223
0.172000,0.2301,-0.2066,-0.0804,0.320
0.173000,0.2518,-0.2102,0.0046,0.328
0.173000,0.2606,-0.1775,0.0450,0.319
0.175000,0.2125,-0.1116,0.0712,0.250
0.195000,0.2091,-0.0817,0.0940,0.243
0.196000,0.1918,-0.0905,0.1711,0.272
0.197000,0.1733,-0.0901,0.2390,0.309
0.197000,0.1430,-0.0915,0.2275,0.284
0.201000,0.1979,-0.0943,0.1673,0.276
0.206000,0.2709,-0.1319,0.1396,0.332
0.212000,0.2649,-0.1347,0.1323,0.325
0.216000,0.2721,-0.1255,0.0842,0.311
0.221000,0.2254,-0.0600,0.0300,0.235
0.226000,0.2205,-0.0350,-0.0029,0.223
0.232000,0.2046,-0.0492,-0.0397,0.214
0.236000,0.1753,-0.0522,-0.0184,0.184
0.242000,0.1686,-0.0250,-0.0167,0.171
0.247000,0.1713,0.0152,0.0133,0.173
0.251000,0.1618,0.0493,0.0974,0.195
0.257000,0.1282,0.0560,0.0571,0.151
0.262000,0.0957,0.0164,0.0027,0.097
0.267000,0.1057,0.0212,-0.0241,0.110
0.272000,0.0548,0.0488,-0.0713,0.102
0.277000,0.0791,0.0481,-0.0734,0.118
0.282000,0.0498,0.0593,-0.0210,0.080
0.287000,0.0257,0.0610,0.0464,0.081
0.292000,0.0777,0.0639,0.0788,0.128
0.310000,0.0858,0.0156,0.0588,0.105
0.311000,0.0583,-0.0242,0.1046,0.122
0.312000,0.0645,-0.0577,0.0860,0.122
0.316000,0.0497,-0.0744,0.0213,0.092
0.321000,0.0433,-0.0660,-0.0618,0.100
0.323000,0.0862,-0.1027,-0.1490,0.200
0.347000,0.1246,-0.0963,-0.1678,0.230
0.348000,0.1062,-0.0781,-0.1543,0.203
0.349000,0.0897,-0.0650,-0.1561,0.191
0.349000,0.0811,-0.0687,-0.1649,0.196
0.350000,0.0068,-0.0952,-0.0806,0.125
0.353000,0.0546,-0.0943,0.0389,0.116
0.358000,0.0679,-0.1069,0.1615,0.205
0.363000,0.0196,-0.1152,0.2291,0.257
0.368000,-0.0306,-0.0526,0.2302,0.238
0.374000,-0.0474,-0.0300,0.2198,0.227
0.379000,-0.0476,-0.0483,0.1659,0.179
0.383000,-0.0244,-0.0523,0.1815,0.190
0.388000,0.0171,-0.0481,0.1518,0.160
0.394000,-0.0013,-0.0426,0.1378,0.144
0.398000,0.0171,-0.0454,0.1368,0.145
0.404000,0.0232,-0.0565,0.1037,0.120
0.409000,0.0111,-0.0234,0.0540,0.060
0.432000,0.0596,0.0145,0.0187,0.064
0.434000,0.0756,0.0273,0.0130,0.081
0.435000,0.0963,0.0283,0.0143,0.101
0.436000,0.0220,0.0593,-0.0049,0.063
0.437000,-0.0112,0.1210,-0.0122,0.122
0.473000,-0.0874,0.1433,0.0538,0.176
0.475000,-0.1315,0.1371,0.1878,0.267
0.477000,-0.1217,0.1276,0.2753,0.327
0.478000,-0.1876,0.1480,0.3226,0.401
0.478000,-0.2258,0.1599,0.4583,0.535
0.480000,-0.2701,0.1602,0.4086,0.515
0.480000,-0.2636,0.2165,0.1651,0.379
0.481000,-0.1540,0.2587,-0.1043,0.319
0.482000,-0.1138,0.3797,-0.2063,0.447
0.500000,-0.1044,0.4780,-0.2267,0.539
0.501000,-0.1203,0.5195,-0.2613,0.594
0.502000,-0.0265,0.4643,-0.2515,0.529
0.502000,0.1153,0.3704,0.2923,0.486
0.505000,-0.1313,0.2677,1.0824,1.123
0.509000,-0.5680,0.2318,0.6404,0.887
0.524000,-0.8155,0.3017,0.3958,0.955
0.525000,-0.7342,0.3102,0.2811,0.845
0.526000,-0.0642,0.0602,0.4071,0.417
0.549000,0.5285,-0.2714,0.1930,0.625
0.550000,0.2597,-0.2555,-0.4610,0.588
